date,away,home,bet,odds,stake,wins,result,risk,pl,ncount,wcount,run_win,market,site,status
10/9/2024,TOR,MTL,home,174,,,W,1,1.74,1,1,100,OT,,1
10/9/2024,CGY,VAN,away,168,,,W,1,1.68,2,2,100,OT,,1
10/9/2024,COL,VGK,home,-108,,,W,1,0.92,3,3,100,OT,,1
10/10/2024,DAL,NSH,home,115,,,L,1,-1,4,3,75,OT,,2
10/11/2024,VAN,PHI,away,170,,,W,1,1.7,5,4,80,OT,,1
10/12/2024,PIT,TOR,away,167,,,L,1,-1,6,4,66.67,OT,,2
10/12/2024,ANA,SJS,away,-133,,,W,1,0.75,7,5,71.43,OT,,1
10/14/2024,FLA,BOS,away,110,,,W,1,1.1,8,6,75,OT,,1
10/15/2024,VAN,TBL,home,-130,,,W,1,0.77,9,7,77.78,OT,,1
10/17/2024,VAN,FLA,home,100,,,L,1,-1,10,7,70,OT,,2
10/19/2024,VAN,PHI,home,128,,,L,1,-1,11,7,63.64,OT,,2
10/19/2024,NYR,TOR,away,109,,,W,1,1.09,12,8,66.67,OT,,1
10/22/2024,MIN,FLA,away,133,,,W,1,1.33,13,9,69.23,OT,,1
10/22/2024,TBL,NJD,away,128,,,W,1,1.28,14,10,71.43,OT,,1
10/22/2024,DAL,BUF,home,131,,,W,1,1.31,15,11,73.33,OT,,1
10/22/2024,WPG,STL,home,126,,,L,1,-1,16,11,68.75,OT,,2
10/22/2024,CAR,EDM,home,-109,,,L,1,-1,17,11,64.71,OT,,2
10/23/2024,PHI,WSH,home,-135,,,W,1,0.74,18,12,66.67,OT,,1
10/24/2024,NJD,DET,home,148,,,W,1,1.48,19,13,68.42,OT,,1
10/24/2024,DAL,BOS,home,-117,,,L,1,-1,20,13,65,OT,,2
10/25/2024,NYI,NJD,home,-109,,,L,1,-1,21,13,61.9,OT,,2
10/26/2024,TOR,BOS,home,107,,,W,1,1.07,22,14,63.64,OT,,1
10/26/2024,STL,MTL,home,112,,,W,1,1.12,23,15,65.22,OT,,1
10/26/2024,FLA,NYI,home,124,,,L,1,-1,24,15,62.5,OT,,2
10/28/2024,NSH,TBL,home,-133,,,W,1,0.75,25,16,64,OT,,1
10/28/2024,TOR,WPG,home,-101,,,L,1,-1,26,16,61.54,OT,,2
10/29/2024,SEA,MTL,home,151,,,L,1,-1,27,16,59.26,OT,,2
10/30/2024,NYI,CBJ,away,-126,,,L,1,-1,28,16,57.14,OT,,2
10/30/2024,WPG,DET,home,146,,,L,1,-1,29,16,55.17,OT,,2
10/30/2024,TBL,COL,home,105,,,L,1,-1,30,16,53.33,OT,,2
10/31/2024,CHI,SJS,home,143,,,W,1,1.43,31,17,54.84,OT,,1
11/1/2024,WPG,CBJ,home,139,5000,-5000,L,1,-1,32,17,53.13,OT,probet42,2
11/1/2024,NJD,CGY,home,150,5000,7500,W,1,1.5,33,18,54.55,OT,probet42,1
11/2/2024,SEA,OTT,home,-118,5000,4237.29,W,1,0.85,34,19,55.88,OT,probet42,1
11/2/2024,COL,NSH,home,-127,5000,3937.01,W,1,0.79,35,20,57.14,OT,probet42,1
11/3/2024,TOR,MIN,home,-106,5000,4716.98,W,1,0.94,36,21,58.33,OT,probet42,1
11/4/2024,LAK,NSH,away,125,5000,6250,W,1,1.25,37,22,59.46,OT,probet42,1
11/4/2024,NJD,EDM,home,109,5000,-5000,L,1,-1,38,22,57.89,OT,probet42,2
11/5/2024,PIT,NYI,home,-131,5000,3816.79,W,1,0.76,39,23,58.97,OT,probet42,1
11/6/2024,NSH,WSH,home,-116,5000,4311.62,W,1,0.86,40,24,60,OT,probet42,1
11/7/2024,COL,WPG,home,-140,5000,3571.43,W,1,0.71,41,25,60.98,OT,probet42,1
11/8/2024,VGK,SEA,away,-135,5000,-5000,L,1,-1,42,25,59.52,OT,sports411,2
11/9/2024,CGY,BUF,home,-135,4995,3700,W,1,0.74,43,26,60.47,OT,probet42,1
11/9/2024,OTT,BOS,home,-136,5000,-5000,L,1,-1,44,26,59.09,OT,probet42,2
11/9/2024,DAL,WPG,home,-106,5000,4734.95,W,1,0.95,45,27,60,OT,probet42,1
11/9/2024,CAR,COL,away,-123,3000,-3000,L,0.6,-0.6,46,27,58.7,OT,probet42,2
11/9/2024,EDM,VAN,away,-114,5000,4310.87,W,1,0.88,47,28,59.57,OT,probet42,1
11/11/2024,LAK,CGY,away,-131,5000,-5000,L,1,-1,48,28,58.33,OT,probet42,2
11/11/2024,NSH,COL,home,-130,3000,2307.69,W,0.6,0.46,49,29,59.18,OT,probet42,1
11/11/2024,CAR,VGK,away,-137,5000,3644.35,W,1,0.73,50,30,60,OT,probet42,1
11/12/2024,OTT,TOR,home,-119,4999.84,-4999.84,L,1,-1,51,30,58.82,OT,probet42,2
11/12/2024,WPG,NYR,home,-118,5000,-5000,L,1,-1,52,30,57.69,OT,probet42,2
11/13/2024,DET,PIT,home,-134,5000,-5000,L,1,-1,53,30,56.6,OT,more,2
11/13/2024,TOR,WSH,away,120,5000,6020,W,1,1.2,54,31,57.41,OT,probet42,1
11/13/2024,LAK,COL,home,-133,5000,3781.94,W,1,0.75,55,32,58.18,OT,more,1
11/14/2024,WPG,TBL,home,-119,5000,4928.28,W,1,0.98,56,33,58.93,OT,more,1
11/15/2024,PIT,CBJ,home,113,5000,5650,W,1,1.13,57,34,59.65,OT,ps3838,1
11/15/2024,DET,ANA,home,129,5000,6470,W,1,1.29,58,35,60.34,OT,more,1
11/16/2024,WPG,FLA,home,-132,5000,5009.19,W,1,1,59,36,61.02,OT,probet42,1
11/16/2024,CBJ,MTL,home,-125,5000,5175,W,1,1.04,60,37,61.67,OT,probet42,1
11/16/2024,NJD,TBL,home,-102,5000,4897.7,W,1,0.98,61,38,62.3,OT,probet42,1
11/17/2024,WSH,VGK,home,-120,5000,-5000,L,1,-1,62,38,61.29,OT,probet42,2
11/19/2024,EDM,OTT,away,-115,5000,5499.97,W,1,1.1,63,39,61.9,OT,more,1
11/19/2024,MIN,STL,away,-146,5000,3425,W,1,0.69,64,40,62.5,OT,punterplay,1
11/19/2024,NYI,CGY,home,-107,5000,4666.35,W,1,0.93,65,41,63.08,OT,more,1
11/19/2024,NYR,VAN,home,102,5000,-5000,L,1,-1,66,41,62.12,OT,more,2
11/20/2024,VGK,TOR,home,-117,5000,5130.5,W,1,1.03,67,42,62.69,OT,more,1
11/20/2024,BUF,LAK,home,-145,5000,-5000,L,1,-1,68,42,61.76,OT,probet42,2
11/21/2024,VGK,OTT,away,134,5000,6700,W,1,1.34,69,43,62.32,OT,more,1
11/22/2024,WPG,PIT,home,159,5000,-5000,L,1,-1,70,43,61.43,OT,more,2
11/23/2024,MIN,CGY,away,-127,5000,-5000,L,1,-1,71,43,60.56,OT,more,2
11/23/2024,COL,FLA,home,-119,5000,-5000,L,1,-1,72,43,59.72,OT,more,2
11/23/2024,NJD,WSH,home,125,5000,-5000,L,1,-1,73,43,58.9,OT,probet42,2
11/23/2024,BOS,DET,away,-136,5000,4842.76,W,1,0.97,74,44,59.46,OT,more,1
11/23/2024,WPG,NSH,away,115,5000,-5000,L,1,-1,75,44,58.67,OT,more,2
11/23/2024,VAN,OTT,home,-134,5000,-5000,L,1,-1,76,44,57.89,OT,probet42,2
11/23/2024,BUF,SJS,home,127,5000,-5000,L,1,-1,77,44,57.14,OT,more,2
11/23/2024,NYR,EDM,home,-137,5000,4759.29,W,1,0.95,78,45,57.69,OT,more,1
11/25/2024,DAL,CAR,home,-116,5000,5436.63,W,1,1.09,79,46,58.23,OT,more,1
11/25/2024,DET,NYI,home,-147,5000,-5000,L,1,-1,80,46,57.5,OT,probet42,2
11/25/2024,CGY,OTT,home,-149,5000,4249.48,W,1,0.85,81,47,58.02,OT,more,1
11/25/2024,WPG,MIN,home,105,5000,-5000,L,1,-1,82,47,57.32,OT,more,2
11/26/2024,VAN,BOS,home,-114,5000,-5000,L,1,-1,83,47,56.63,OT,probet42,2
11/27/2024,NYR,CAR,home,-143,1000,699.79,W,0.2,0.14,84,48,57.14,OT,3et,1
11/27/2024,MIN,BUF,away,-134,5000,4710.43,W,1,0.94,85,49,57.65,OT,more,1
11/27/2024,VAN,PIT,home,-105,5000,4771.75,W,1,0.95,86,50,58.14,OT,more,1
11/27/2024,TOR,FLA,home,-136,5000,4748.35,W,1,0.95,87,51,58.62,OT,more,1
11/27/2024,WPG,LAK,home,107,5000,5367.5,W,1,1.07,88,52,59.09,OT,more,1
11/29/2024,NYI,WSH,away,-142,5000,3518.41,W,1,0.7,89,53,59.55,OT,3et,1
11/29/2024,FLA,CAR,home,-141,5000,-5000,L,1,-1,90,53,58.89,OT,3et,2
11/29/2024,SEA,SJS,home,131,5000,6550,W,1,1.31,91,54,59.34,OT,sports411,1
11/30/2024,OTT,LAK,home,-114,5000,4369.79,W,1,0.87,92,55,59.78,OT,more,1
11/30/2024,PHI,STL,away,127,4999.99,6329.99,W,1,1.27,93,56,60.22,OT,punterplay,1
11/30/2024,CGY,PIT,home,-112,5000,4472.24,W,1,0.85,94,57,60.64,OT,more,1
11/30/2024,WSH,NJD,away,144,5000,7190,W,1,1.44,95,58,61.05,OT,sports411,1
11/30/2024,BUF,NYI,away,-113,5000,4429.88,W,1,0.88,96,59,61.46,OT,punterplay,1
11/30/2024,EDM,COL,home,-118,5000,-5000,L,1,-1,97,59,60.82,OT,probet42,2
12/1/2024,VAN,DET,home,119,7500,-7500,L,1,-1,98,59,60.2,OT,more,2
