Betting Day,Date,Home Team,Away Team,Bet,American Odds,Decimal Odds,Result,running W,n. bets,running % wins,1st positive threshold,2nd positive threshold,1st negative threshold,2nd negative threshold,RC,Risk,P/L
2,25/03/2023,Nationals,Astros,Nationals,144,2.44,L,0,1,0,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
3,28/03/2023,Yankees,Nationals,Nationals,123,2.23,W,1,2,0.5,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.85
4,30/03/2023,Royals,Twins,Royals,137,2.37,L,1,3,0.3333,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
5,6/4/2023,Red Sox,Tigers,Tigers,126,2.26,L,1,4,0.25,0.5025,0.5075,0.4975,0.4925,0.5,1.5,-1.50
6,7/4/2023,White Sox,Pirates,Pirates,126,2.26,W,2,5,0.4,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.89
6,7/4/2023,Rangers,Cubs,Cubs,-116,1.86,W,3,6,0.5,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.29
6,7/4/2023,Mariners,Guardians,Mariners,110,2.1,W,4,7,0.5714,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.65
6,7/4/2023,Astros,Twins,Twins,-118,1.85,W,5,8,0.625,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.28
6,7/4/2023,Padres,Braves,Padres,106,2.06,W,6,9,0.6667,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.59
6,7/4/2023,Nationals,Rockies,Nationals,104,2.04,W,7,10,0.7,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.56
7,8/4/2023,Reds,Phillies,Reds,126,2.26,L,7,11,0.6364,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
7,8/4/2023,Rangers,Cubs,Cubs,-117,1.85,W,8,12,0.6667,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.43
7,8/4/2023,Royals,Giants,Royals,135,2.35,W,9,13,0.6923,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.68
8,9/4/2023,Yankees,Orioles,Orioles,127,2.27,L,9,14,0.6429,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
8,9/4/2023,Astros,Twins,Twins,-104,1.96,L,9,15,0.6,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
8,9/4/2023,Rangers,Cubs,Cubs,-101,1.99,L,9,16,0.5625,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
9,10/4/2023,Yankees,Guardians,Yankees,136,2.36,L,9,17,0.5294,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
9,10/4/2023,Red Sox,Rays,Red Sox,136,2.36,L,9,18,0.5,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
9,10/4/2023,Marlins,Phillies,Phillies,114,2.14,W,10,19,0.5263,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.57
9,10/4/2023,Cardinals,Rockies,Rockies,126,2.26,W,11,20,0.55,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.63
9,10/4/2023,Dodgers,Giants,Giants,137,2.37,L,11,21,0.5238,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
9,10/4/2023,Mariners,Cubs,Cubs,137,2.37,W,12,22,0.5455,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.69
10,11/4/2023,Brewers,Diamondbacks,Brewers,-120,1.83,W,13,23,0.5652,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.42
10,11/4/2023,Athletics,Orioles,Athletics,173,2.73,L,13,24,0.5417,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
10,11/4/2023,Cardinals,Rockies,Rockies,149,2.49,L,13,25,0.52,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
10,11/4/2023,Padres,Mets,Mets,-133,1.75,L,13,26,0.5,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
10,11/4/2023,Mariners,Cubs,Cubs,-114,1.88,W,14,27,0.5185,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.44
10,11/4/2023,Astros,Pirates,Pirates,150,2.5,W,15,28,0.5357,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.75
11,12/4/2023,Padres,Mets,Mets,-109,1.92,W,16,29,0.5517,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.46
11,12/4/2023,Astros,Pirates,Pirates,136,2.36,L,16,30,0.5333,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
11,12/4/2023,White Sox,Twins,White Sox,134,2.34,L,16,31,0.5161,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
11,12/4/2023,Dodgers,Giants,Giants,141,2.41,L,16,32,0.5,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
12,13/04/2023,Twins,Yankees,Yankees,-127,1.79,L,16,33,0.4848,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
12,13/04/2023,Phillies,Reds,Reds,-126,1.79,W,17,34,0.5,0.5025,0.5075,0.4975,0.4925,0,1,0.79
13,14/04/2023,Phillies,Reds,Reds,135,2.35,L,17,35,0.4857,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
13,14/04/2023,Diamondbacks,Marlins,Diamondbacks,148,2.48,L,17,36,0.4722,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
13,14/04/2023,Giants,Tigers,Tigers,134,2.34,W,18,37,0.4865,0.5025,0.5075,0.4975,0.4925,0,1,1.34
14,15/04/2023,Rockies,Mariners,Rockies,149,2.49,L,18,38,0.4737,0.5025,0.5075,0.4975,0.4925,0.5,1.5,-1.50
14,15/04/2023,Pirates,Cardinals,Pirates,143,2.43,L,18,39,0.4615,0.5025,0.5075,0.4975,0.4925,0.5,1.5,-1.50
14,15/04/2023,Brewers,Padres,Brewers,152,2.52,W,19,40,0.475,0.5025,0.5075,0.4975,0.4925,0.5,1.5,2.28
14,15/04/2023,Rays,Jays,Jays,110,2.1,W,20,41,0.4878,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.65
14,15/04/2023,Rangers,Astros,Rangers,146,2.46,W,21,42,0.5,0.5025,0.5075,0.4975,0.4925,0.5,1.5,2.19
14,15/04/2023,Twins,Yankees,Yankees,-126,1.79,W,22,43,0.5116,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.19
14,15/04/2023,Orioles,White Sox,Orioles,-105,1.95,L,22,44,0.5,0.5025,0.5075,0.4975,0.4925,0.5,1.5,-1.50
14,15/04/2023,Brewers,Padres,Brewers,132,2.32,L,22,45,0.4889,0.5025,0.5075,0.4975,0.4925,0.5,1.5,-1.50
14,15/04/2023,Diamondbacks,Marlins,Marlins,-134,1.75,W,23,46,0.5,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.13
14,15/04/2023,Phillies,Reds,Reds,-101,1.99,W,24,47,0.5106,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.49
15,16/04/2023,Rangers,Astros,Rangers,162,2.62,L,24,48,0.5,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
15,16/04/2023,Twins,Yankees,Yankees,-159,1.63,W,25,49,0.5102,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.32
15,16/04/2023,Rays,Jays,Rays,-128,1.78,W,26,50,0.52,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.39
15,16/04/2023,Braves,Royals,Royals,148,2.48,L,26,51,0.5098,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
16,17/04/2023,Angels,Red Sox,Red Sox,123,2.23,L,26,52,0.5,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
16,17/04/2023,Giants,Marlins,Marlins,-115,1.87,W,27,53,0.5094,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.44
17,18/04/2023,Diamondbacks,Cardinals,Diamondbacks,131,2.31,W,28,54,0.5185,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,0.66
17,18/04/2023,Jays,Astros,Jays,-112,1.89,L,28,55,0.5091,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
17,18/04/2023,Phillies,White Sox,White Sox,108,2.08,L,28,56,0.5,0.5025,0.5075,0.4975,0.4925,-0.5,0.5,-0.50
18,19/04/2023,Jays,Astros,Jays,-100,2,W,29,57,0.5088,0.5025,0.5075,0.4975,0.4925,0,1,1.00
18,19/04/2023,Twins,Red Sox,Red Sox,-104,1.96,W,30,58,0.5172,0.5025,0.5075,0.4975,0.4925,0,1,0.96
18,19/04/2023,Angels,Yankees,Angels,131,2.31,W,31,59,0.5254,0.5025,0.5075,0.4975,0.4925,0,1,1.31
18,19/04/2023,Pirates,Rockies,Rockies,-105,1.95,L,31,60,0.5167,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
18,19/04/2023,Giants,Marlins,Marlins,-104,1.96,L,31,61,0.5082,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
18,19/04/2023,Guardians,Tigers,Tigers,118,2.18,L,31,62,0.5,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
18,19/04/2023,Phillies,White Sox,White Sox,107,2.07,L,31,63,0.4921,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
18,19/04/2023,Guardians,Tigers,Tigers,122,2.22,L,31,64,0.4844,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
19,20/04/2023,Twins,Red Sox,Red Sox,-116,1.86,W,32,65,0.4923,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.29
19,20/04/2023,Rockies,Phillies,Rockies,192,2.92,W,33,66,0.5,0.5025,0.5075,0.4975,0.4925,0.5,1.5,2.88
19,20/04/2023,Mets,Giants,Mets,-116,1.86,W,34,67,0.5075,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.29
20,21/04/2023,Dodgers,Cubs,Cubs,142,2.42,W,35,68,0.5147,0.5025,0.5075,0.4975,0.4925,-0.1,0.9,1.28
20,21/04/2023,Dodgers,Cubs,Cubs,145,2.45,W,36,69,0.5217,0.5025,0.5075,0.4975,0.4925,-0.1,0.9,1.31
20,21/04/2023,Red Sox,Brewers,Red Sox,154,2.54,W,37,70,0.5286,0.5025,0.5075,0.4975,0.4925,-0.1,0.9,1.39
20,21/04/2023,Cardinals,Mariners,Cardinals,109,2.09,L,37,71,0.5211,0.5025,0.5075,0.4975,0.4925,-0.1,0.9,-0.90
20,21/04/2023,Astros,Braves,Braves,-110,1.91,L,37,72,0.5139,0.5025,0.5075,0.4975,0.4925,-0.1,0.9,-0.90
20,21/04/2023,Jays,Yankees,Yankees,-129,1.78,L,37,73,0.5068,0.5025,0.5075,0.4975,0.4925,-0.1,0.9,-0.90
20,21/04/2023,Athletics,Rangers,Athletics,192,2.92,W,38,74,0.5135,0.5025,0.5075,0.4975,0.4925,-0.1,0.9,1.73
