,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717957,657041,3.4014,0.242,0.0964,0.3134,0.6876,0.3591,0.3743,0.9734,4.25,0.2967,0.25,0.3465,0.9172,0.5,0.5707,1.3
1,,Away Batter 2,717957,671277,3.4979,0.2651,0.089,0.3045,0.71,0.4424,0.4054,0.5076,4.18,0.225,0.0,0.2967,0.5517,0.3,0.255,0.75
2,,Away Batter 3,717957,600869,3.6274,0.2283,0.0838,0.27,0.6142,0.3598,0.3441,0.84,4.01,0.354,0.12,0.4063,1.0212,0.57,0.6148,0.82
3,,Away Batter 4,717957,608841,3.2894,0.2252,0.066,0.2497,0.5712,0.3511,0.3215,0.6726,3.99,0.2832,0.0,0.3835,0.7412,0.7,0.3577,0.79
4,,Away Batter 5,717957,642086,3.1827,0.2419,0.0701,0.3113,0.6418,0.3161,0.3305,0.7247,3.71,0.3252,0.0,0.3877,0.7775,0.26,0.3898,0.57
5,,Away Batter 6,717957,572816,2.9144,0.2446,0.0166,0.3037,0.6387,0.2855,0.335,0.4746,2.77,0.3217,0.16,0.375,0.9358,0.73,0.5608,0.55
6,,Away Batter 7,717957,660688,3.3526,0.2382,0.0628,0.2937,0.6487,0.347,0.355,0.351,3.35,0.2558,0.07,0.3125,0.6917,0.55,0.3792,0.27
7,,Away Batter 8,717957,682928,2.9915,0.2445,0.0476,0.2814,0.6383,0.3627,0.3569,0.7395,3.41,0.245,0.12,0.2767,0.6908,0.67,0.4142,0.71
8,,Away Batter 9,717957,545121,2.3494,0.2379,0.0173,0.3382,0.64,0.2531,0.3018,0.2906,3.02,0.283,0.11,0.298,0.7415,0.72,0.4435,0.04
9,,Home Batter 1,717957,605141,3.5836,0.2628,0.2271,0.3517,0.8753,0.5449,0.5236,0.7265,4.03,0.2333,0.17,0.3527,0.7867,0.54,0.434,0.77
10,,Home Batter 2,717957,518692,3.5996,0.2987,0.1745,0.379,0.8899,0.5586,0.511,0.6728,4.07,0.4192,0.13,0.4715,1.1943,0.94,0.7228,0.68
11,,Home Batter 3,717957,571970,3.1261,0.2231,0.2519,0.3539,0.8477,0.6484,0.4938,1.0335,3.64,0.2215,0.34,0.2637,0.8587,0.65,0.595,1.33
12,,Home Batter 4,717957,502110,3.4881,0.2452,0.1369,0.295,0.739,0.5148,0.444,1.0672,4.36,0.3402,0.54,0.3493,1.1145,1.48,0.7652,1.2
13,,Home Batter 5,717957,518792,2.6265,0.2012,0.1061,0.278,0.6466,0.2649,0.3686,0.6562,2.74,0.1508,0.09,0.2665,0.5482,0.26,0.2817,0.47
14,,Home Batter 6,717957,444482,2.8208,0.2037,0.0798,0.2607,0.5754,0.4283,0.3147,0.5095,3.01,0.293,0.0,0.3922,0.7798,0.22,0.3877,0.78
15,,Home Batter 7,717957,681546,2.6365,0.2957,0.1619,0.3885,0.9594,0.5716,0.5708,0.9769,2.94,0.1175,0.05,0.1805,0.3355,0.4,0.155,1.44
16,,Home Batter 8,717957,500743,2.949,0.236,0.0574,0.3065,0.6512,0.2315,0.3447,0.3829,3.7,0.2643,0.0,0.2743,0.6012,0.2,0.3268,0.37
17,,Home Batter 9,717957,605131,2.6989,0.1296,0.0304,0.1964,0.3855,0.1904,0.1892,0.5597,2.87,0.1575,0.0,0.2337,0.4112,0.28,0.1775,0.79
