"game_id","game_date","player_id","career_atbats","career_avg","career_homeruns","career_obp","career_ops","career_rbi","career_slg","career_strikeouts","recent_atbats","recent_avg","recent_homeruns","recent_obp","recent_ops","recent_rbi","recent_slg","recent_strikeouts"
"717792","2023/06/12","621493","3.456","0.257","0.131","0.332","0.751","0.461","0.419","0.807","3.64","0.299","0.32","0.358","1.044","0.63","0.685","0.9"
"717794","2023/06/12","553869","3.241","0.294","0.113","0.352","0.799","0.512","0.448","0.671","3.76","0.126","0.03","0.186","0.382","0.23","0.196","0.95"
"717794","2023/06/12","545341","3.686","0.309","0.086","0.359","0.799","0.444","0.44","0.829","3.95","0.248","0","0.269","0.652","0.26","0.384","0.88"
"717794","2023/06/12","666134","2.087","0.144","0.011","0.225","0.423","0.224","0.198","0.905","3.38","0.366","0.37","0.418","1.158","0.87","0.74","1.05"
"717792","2023/06/12","660271","3.66","0.269","0.232","0.359","0.874","0.608","0.515","0.973","4.12","0.389","0.43","0.441","1.347","0.96","0.906","0.99"
"717792","2023/06/12","545361","3.534","0.28","0.233","0.354","0.88","0.559","0.526","1.111","3.52","0.153","0.14","0.264","0.534","0.57","0.271","1.47"
"717792","2023/06/12","543685","3.126","0.286","0.075","0.392","0.826","0.577","0.434","0.553","3.37","0.254","0.05","0.316","0.672","0.4","0.356","0.47"
"717792","2023/06/12","642136","2.201","0.211","0.029","0.309","0.584","0.182","0.276","0.681","3.15","0.188","0.07","0.419","0.703","0.67","0.283","0.98"
"717792","2023/06/12","592273","3.212","0.247","0.134","0.278","0.732","0.477","0.454","0.958","3.99","0.292","0.13","0.347","0.803","0.42","0.457","1.02"
"717792","2023/06/12","592669","3.543","0.272","0.216","0.322","0.841","0.592","0.519","0.778","3.88","0.19","0.09","0.241","0.582","0.21","0.341","0.97"
"717794","2023/06/12","660707","2.672","0.27","0.148","0.328","0.777","0.383","0.449","0.714","2.78","0.145","0","0.158","0.355","0.43","0.198","1.43"
"717794","2023/06/12","686668","2.04","0.197","0.064","0.217","0.525","0.405","0.307","0.738","3.16","0.142","0","0.188","0.33","0.18","0.142","1.13"
"717794","2023/06/12","680776","3.121","0.28","0.086","0.324","0.814","0.406","0.489","0.938","3.21","0.222","0","0.283","0.601","0.37","0.318","1.05"
"717794","2023/06/12","657077","3.706","0.286","0.088","0.336","0.756","0.395","0.42","0.581","4.12","0.224","0","0.337","0.64","0.27","0.304","0.45"
"717794","2023/06/12","457759","3.397","0.257","0.11","0.346","0.743","0.434","0.397","0.611","4.02","0.273","0.23","0.318","0.839","0.51","0.521","0.5"
"717794","2023/06/12","646240","3.732","0.258","0.233","0.313","0.822","0.769","0.509","0.85","3.81","0.25","0.21","0.336","0.812","0.52","0.476","0.87"
"717794","2023/06/12","594807","2.75","0.241","0.233","0.331","0.9","0.537","0.57","0.994","3.21","0.284","0.27","0.341","0.918","0.91","0.576","0.75"
"717794","2023/06/12","671213","2.533","0.196","0.134","0.312","0.671","0.373","0.36","0.817","3.27","0.203","0.09","0.382","0.727","0.25","0.345","0.96"
"717794","2023/06/12","624414","3.067","0.246","0.065","0.275","0.632","0.355","0.357","0.582","2.92","0.268","0.07","0.276","0.717","0.49","0.441","0.65"
"717794","2023/06/12","657136","2.524","0.207","0.113","0.295","0.691","0.31","0.396","0.866","2.71","0.188","0.11","0.262","0.616","0.23","0.354","1.2"
"717794","2023/06/12","571771","3.494","0.218","0.087","0.283","0.636","0.386","0.352","0.766","3.59","0.2","0.15","0.244","0.58","0.63","0.335","0.83"
"717794","2023/06/12","663796","1.167","0.319","0.153","0.431","1.125","0.208","0.694","0.208","2.23","0.375","0.12","0.375","0.937","0.52","0.562","0.53"
"717791","2023/06/12","669242","3.373","0.236","0.095","0.312","0.685","0.373","0.373","0.587","3.64","0.117","0","0.166","0.332","0.12","0.165","0.61"
"717791","2023/06/12","596103","2.896","0.329","0.028","0.428","0.878","0.763","0.45","0.903","2.28","0.287","0.06","0.317","0.643","0.58","0.327","0.68"
"717791","2023/06/12","642731","3.445","0.265","0.134","0.295","0.744","0.437","0.449","0.787","4.39","0.253","0.33","0.274","0.874","0.85","0.6","1.44"
"717791","2023/06/12","527038","3.143","0.24","0.147","0.294","0.729","0.408","0.434","0.539","2.19","0.233","0","0.38","0.657","0.44","0.278","0.51"
"717791","2023/06/12","605204","3.005","0.26","0.124","0.327","0.756","0.448","0.429","1.002","3.16","0.285","0.01","0.383","0.799","0.38","0.416","0.77"
"717791","2023/06/12","571745","3.618","0.246","0.117","0.281","0.662","0.466","0.381","1.118","3.72","0.222","0.05","0.304","0.639","0.33","0.335","0.91"
"717791","2023/06/12","624424","3.378","0.211","0.202","0.321","0.748","0.48","0.427","1.009","3.37","0.26","0.16","0.345","0.751","0.78","0.406","0.87"
"717791","2023/06/12","669477","2.322","0.22","0.092","0.224","0.597","0.391","0.374","0.529","3.53","0.187","0","0.197","0.48","0.43","0.282","0.84"
"717791","2023/06/12","672275","1.433","0.281","0.028","0.315","0.746","0.156","0.431","0.383","3.83","0.246","0.09","0.293","0.726","0.75","0.433","1.43"
"717791","2023/06/12","543063","3.163","0.202","0.123","0.281","0.626","0.44","0.345","0.829","2.76","0.261","0","0.349","0.817","0.26","0.468","0.86"
"717791","2023/06/12","680977","2.571","0.226","0.09","0.301","0.637","0.287","0.335","0.482","3.52","0.218","0.09","0.313","0.645","0.25","0.332","0.41"
"717791","2023/06/12","502671","3.62","0.282","0.192","0.376","0.876","0.548","0.5","0.878","3.97","0.263","0.04","0.292","0.637","0.23","0.345","1.18"
"717791","2023/06/12","669357","2.957","0.256","0.206","0.331","0.844","0.654","0.512","0.945","3.22","0.166","0.17","0.183","0.497","0.46","0.314","1.55"
